date,week,student_id
2026-02-16,Week 2,22112022001
2026-02-16,Week 2,22112022502
2026-02-16,Week 2,23112022006
2026-02-16,Week 2,23112022416
2026-02-16,Week 2,24112022002
2026-02-16,Week 2,24112022003
2026-02-16,Week 2,24112022004
2026-02-16,Week 2,24112022005
2026-02-16,Week 2,24112022006
2026-02-16,Week 2,24112022007
2026-02-16,Week 2,24112022009
2026-02-16,Week 2,24112022010
2026-02-16,Week 2,24112022011
2026-02-16,Week 2,24112022013
2026-02-16,Week 2,24112022014
2026-02-16,Week 2,24112022016
2026-02-16,Week 2,24112022017
2026-02-16,Week 2,24112022019
2026-02-16,Week 2,24112022022
2026-02-16,Week 2,24112022025
2026-02-16,Week 2,24112022026
2026-02-16,Week 2,24112022030
2026-02-16,Week 2,24112022031
2026-02-16,Week 2,24112022032
2026-02-16,Week 2,24112022033
2026-02-16,Week 2,24112022036
2026-02-16,Week 2,24112022042
2026-02-16,Week 2,24112022043
2026-02-16,Week 2,24112022046
2026-02-16,Week 2,24112022047
2026-02-16,Week 2,24112022048
2026-02-16,Week 2,24112022402
2026-02-16,Week 2,24112022700
2026-02-16,Week 2,24112022753
2026-02-16,Week 2,25112022003
2026-02-16,Week 2,25112022009
2026-02-16,Week 2,25112022029
2026-02-16,Week 2,25112022040
2026-02-16,Week 2,25112022047
2026-02-16,Week 2,25112022401
2026-02-16,Week 2,25112022404
2026-02-23,Week 3,22112022001
2026-02-23,Week 3,23112022006
2026-02-23,Week 3,23112022413
2026-02-23,Week 3,23112022416
2026-02-23,Week 3,24112022002
2026-02-23,Week 3,24112022006
2026-02-23,Week 3,24112022007
2026-02-23,Week 3,24112022010
2026-02-23,Week 3,24112022011
2026-02-23,Week 3,24112022013
2026-02-23,Week 3,24112022014
2026-02-23,Week 3,24112022016
2026-02-23,Week 3,24112022017
2026-02-23,Week 3,24112022019
2026-02-23,Week 3,24112022022
2026-02-23,Week 3,24112022025
2026-02-23,Week 3,24112022026
2026-02-23,Week 3,24112022030
2026-02-23,Week 3,24112022031
2026-02-23,Week 3,24112022032
2026-02-23,Week 3,24112022033
2026-02-23,Week 3,24112022036
2026-02-23,Week 3,24112022042
2026-02-23,Week 3,24112022043
2026-02-23,Week 3,24112022046
2026-02-23,Week 3,24112022047
2026-02-23,Week 3,24112022048
2026-02-23,Week 3,24112022402
2026-02-23,Week 3,24112022700
2026-02-23,Week 3,24112022753
2026-02-23,Week 3,25112022003
2026-02-23,Week 3,25112022009
2026-02-23,Week 3,25112022029
2026-02-23,Week 3,25112022040
2026-02-23,Week 3,25112022047
2026-02-23,Week 3,25112022401
2026-02-23,Week 3,25112022404
2026-03-02,Week 4,23112022006
2026-03-02,Week 4,23112022404
2026-03-02,Week 4,23112022413
2026-03-02,Week 4,24112022002
2026-03-02,Week 4,24112022003
2026-03-02,Week 4,24112022004
2026-03-02,Week 4,24112022007
2026-03-02,Week 4,24112022009
2026-03-02,Week 4,24112022010
2026-03-02,Week 4,24112022011
2026-03-02,Week 4,24112022013
2026-03-02,Week 4,24112022014
2026-03-02,Week 4,24112022016
2026-03-02,Week 4,24112022017
2026-03-02,Week 4,24112022019
2026-03-02,Week 4,24112022026
2026-03-02,Week 4,24112022030
2026-03-02,Week 4,24112022033
2026-03-02,Week 4,24112022036
2026-03-02,Week 4,24112022042
2026-03-02,Week 4,24112022043
2026-03-02,Week 4,24112022046
2026-03-02,Week 4,24112022047
2026-03-02,Week 4,24112022700
2026-03-02,Week 4,24112022753
2026-03-02,Week 4,25112022003
2026-03-02,Week 4,25112022009
2026-03-02,Week 4,25112022029
2026-03-02,Week 4,25112022040
2026-03-02,Week 4,25112022047
2026-03-02,Week 4,25112022401
2026-03-02,Week 4,25112022404
2026-03-09,Week 5,22112022022
2026-03-09,Week 5,23112022006
2026-03-09,Week 5,23112022404
2026-03-09,Week 5,23112022413
2026-03-09,Week 5,23112022416
2026-03-09,Week 5,24112022002
2026-03-09,Week 5,24112022003
2026-03-09,Week 5,24112022004
2026-03-09,Week 5,24112022006
2026-03-09,Week 5,24112022007
2026-03-09,Week 5,24112022010
2026-03-09,Week 5,24112022011
2026-03-09,Week 5,24112022013
2026-03-09,Week 5,24112022016
2026-03-09,Week 5,24112022017
2026-03-09,Week 5,24112022019
2026-03-09,Week 5,24112022022
2026-03-09,Week 5,24112022025
2026-03-09,Week 5,24112022026
2026-03-09,Week 5,24112022030
2026-03-09,Week 5,24112022031
2026-03-09,Week 5,24112022032
2026-03-09,Week 5,24112022033
2026-03-09,Week 5,24112022036
2026-03-09,Week 5,24112022042
2026-03-09,Week 5,24112022043
2026-03-09,Week 5,24112022046
2026-03-09,Week 5,24112022047
2026-03-09,Week 5,24112022048
2026-03-09,Week 5,24112022753
2026-03-09,Week 5,25112022003
2026-03-09,Week 5,25112022009
2026-03-09,Week 5,25112022029
2026-03-09,Week 5,25112022040
2026-03-09,Week 5,25112022047
2026-03-09,Week 5,25112022404
2026-03-23,Week 7,23112022006
2026-03-23,Week 7,24112022003
2026-03-23,Week 7,24112022004
2026-03-23,Week 7,24112022005
2026-03-23,Week 7,24112022006
2026-03-23,Week 7,24112022007
2026-03-23,Week 7,24112022010
2026-03-23,Week 7,24112022016
2026-03-23,Week 7,24112022017
2026-03-23,Week 7,24112022019
2026-03-23,Week 7,24112022026
2026-03-23,Week 7,24112022030
2026-03-23,Week 7,24112022032
2026-03-23,Week 7,24112022036
2026-03-23,Week 7,24112022042
2026-03-23,Week 7,24112022043
2026-03-23,Week 7,24112022045
2026-03-23,Week 7,24112022046
2026-03-23,Week 7,24112022700
2026-03-23,Week 7,25112022003
2026-03-23,Week 7,25112022009
2026-03-23,Week 7,25112022029
2026-03-23,Week 7,25112022040
2026-03-23,Week 7,25112022401
2026-03-23,Week 7,25112022404
2026-04-06,Week 9,23112022404
2026-04-06,Week 9,23112022413
2026-04-06,Week 9,23112022416
2026-04-06,Week 9,24112022002
2026-04-06,Week 9,24112022003
2026-04-06,Week 9,24112022004
2026-04-06,Week 9,24112022007
2026-04-06,Week 9,24112022009
2026-04-06,Week 9,24112022011
2026-04-06,Week 9,24112022013
2026-04-06,Week 9,24112022014
2026-04-06,Week 9,24112022016
2026-04-06,Week 9,24112022019
2026-04-06,Week 9,24112022022
2026-04-06,Week 9,24112022026
2026-04-06,Week 9,24112022030
2026-04-06,Week 9,24112022032
2026-04-06,Week 9,24112022036
2026-04-06,Week 9,24112022043
2026-04-06,Week 9,24112022046
2026-04-06,Week 9,24112022047
2026-04-06,Week 9,24112022048
2026-04-06,Week 9,24112022753
2026-04-06,Week 9,25112022009
2026-04-06,Week 9,25112022029
2026-04-06,Week 9,25112022047
2026-04-06,Week 9,25112022401
2026-04-06,Week 9,25112022404
2026-04-13,Week 10,23112022006
2026-04-13,Week 10,23112022413
2026-04-13,Week 10,23112022416
2026-04-13,Week 10,24112022002
2026-04-13,Week 10,24112022003
2026-04-13,Week 10,24112022004
2026-04-13,Week 10,24112022005
2026-04-13,Week 10,24112022006
2026-04-13,Week 10,24112022007
2026-04-13,Week 10,24112022010
2026-04-13,Week 10,24112022011
2026-04-13,Week 10,24112022013
2026-04-13,Week 10,24112022016
2026-04-13,Week 10,24112022017
2026-04-13,Week 10,24112022019
2026-04-13,Week 10,24112022022
2026-04-13,Week 10,24112022025
2026-04-13,Week 10,24112022026
2026-04-13,Week 10,24112022030
2026-04-13,Week 10,24112022031
2026-04-13,Week 10,24112022032
2026-04-13,Week 10,24112022036
2026-04-13,Week 10,24112022042
2026-04-13,Week 10,24112022043
2026-04-13,Week 10,24112022045
2026-04-13,Week 10,24112022046
2026-04-13,Week 10,24112022047
2026-04-13,Week 10,24112022048
2026-04-13,Week 10,24112022700
2026-04-13,Week 10,25112022029
2026-04-13,Week 10,25112022040
2026-04-13,Week 10,25112022047
2026-04-13,Week 10,25112022401
